DBN,School Name,Year,Total Enrollment,Grade 3K,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
10X159,P.S. 159 Luis Munoz Marin Biling,2021-22,154,0,0,30,23,20,22,24,35,0,0,0,0,0,0,0,92,0.597,62,0.403,0,0,21,0.136,129,0.838,1,0.006,2,0.013,1,0.006,0,0,28,0.182,46,0.299,140,90.9%,93.7%
10X205,P.S. 205 Fiorello LaGuardia,2017-18,1019,0,0,150,171,164,200,164,170,0,0,0,0,0,0,0,543,0.533,476,0.467,22,0.022,124,0.122,811,0.796,2,0.002,3,0.003,57,0.056,0,0,227,0.223,261,0.256,925,90.8%,Above 95%
10X205,P.S. 205 Fiorello LaGuardia,2018-19,935,0,0,125,157,162,161,188,142,0,0,0,0,0,0,0,486,0.52,449,0.48,18,0.019,114,0.122,745,0.797,2,0.002,5,0.005,51,0.055,0,0,200,0.214,229,0.245,845,90.4%,95.0%
10X205,P.S. 205 Fiorello LaGuardia,2019-20,904,0,0,135,135,151,149,147,187,0,0,0,0,0,0,0,468,0.518,436,0.482,15,0.017,117,0.129,711,0.787,4,0.004,4,0.004,50,0.055,3,0.003,192,0.212,244,0.27,837,92.6%,Above 95%
10X205,P.S. 205 Fiorello LaGuardia,2020-21,794,0,0,92,130,136,139,152,145,0,0,0,0,0,0,0,406,0.511,388,0.489,13,0.016,105,0.132,622,0.783,3,0.004,5,0.006,44,0.055,2,0.003,175,0.22,212,0.267,742,93.5%,Above 95%
10X205,P.S. 205 Fiorello LaGuardia,2021-22,687,0,0,94,87,120,122,126,138,0,0,0,0,0,0,0,348,0.507,339,0.493,12,0.017,76,0.111,555,0.808,2,0.003,4,0.006,37,0.054,1,0.001,161,0.234,206,0.3,635,92.4%,94.4%
10X206,I.S. 206 Ann Mersereau,2017-18,207,0,0,0,0,0,0,0,0,74,64,69,0,0,0,0,102,0.493,105,0.507,4,0.019,27,0.13,173,0.836,0,0,2,0.01,1,0.005,0,0,69,0.333,66,0.319,189,91.3%,Above 95%
10X206,I.S. 206 Ann Mersereau,2018-19,229,0,0,0,0,0,0,0,0,95,68,66,0,0,0,0,114,0.498,115,0.502,6,0.026,29,0.127,190,0.83,0,0,2,0.009,2,0.009,0,0,67,0.293,81,0.354,214,93.4%,Above 95%
10X206,I.S. 206 Ann Mersereau,2019-20,270,0,0,0,0,0,0,0,0,89,108,73,0,0,0,0,132,0.489,138,0.511,8,0.03,33,0.122,227,0.841,0,0,0,0,2,0.007,0,0,77,0.285,103,0.381,Above 95%,Above 95%,Above 95%
10X206,I.S. 206 Ann Mersereau,2020-21,254,0,0,0,0,0,0,0,0,66,84,104,0,0,0,0,121,0.476,133,0.524,4,0.016,29,0.114,217,0.854,0,0,1,0.004,3,0.012,0,0,71,0.28,100,0.394,236,92.9%,Above 95%
10X206,I.S. 206 Ann Mersereau,2021-22,208,0,0,0,0,0,0,0,0,62,63,83,0,0,0,0,97,0.466,111,0.534,1,0.005,20,0.096,184,0.885,0,0,1,0.005,2,0.01,0,0,67,0.322,86,0.413,196,94.2%,Above 95%
10X207,P.S. 207,2017-18,308,0,31,106,77,94,0,0,0,0,0,0,0,0,0,0,129,0.419,179,0.581,16,0.052,23,0.075,244,0.792,0,0,1,0.003,24,0.078,0,0,61,0.198,105,0.341,265,86.0%,88.1%
10X207,P.S. 207,2018-19,336,0,35,60,99,64,78,0,0,0,0,0,0,0,0,0,147,0.438,189,0.563,20,0.06,32,0.095,259,0.771,1,0.003,2,0.006,22,0.065,0,0,73,0.217,89,0.265,307,91.4%,89.7%
10X207,P.S. 207,2019-20,371,0,32,58,55,93,60,73,0,0,0,0,0,0,0,0,173,0.466,198,0.534,14,0.038,26,0.07,304,0.819,1,0.003,2,0.005,24,0.065,0,0,76,0.205,89,0.24,323,87.1%,89.2%
10X207,P.S. 207,2020-21,399,0,22,60,56,52,78,61,70,0,0,0,0,0,0,0,190,0.476,209,0.524,10,0.025,27,0.068,332,0.832,1,0.003,3,0.008,26,0.065,0,0,82,0.206,101,0.253,346,86.7%,90.1%
10X207,P.S. 207,2021-22,341,0,26,44,45,56,44,75,51,0,0,0,0,0,0,0,174,0.51,167,0.49,14,0.041,23,0.067,278,0.815,2,0.006,1,0.003,23,0.067,0,0,60,0.176,99,0.29,289,84.8%,88.1%
10X209,P.S. 209,2017-18,256,0,36,79,77,64,0,0,0,0,0,0,0,0,0,0,140,0.547,116,0.453,2,0.008,52,0.203,202,0.789,0,0,0,0,0,0,0,0,78,0.305,32,0.125,242,94.5%,94.0%
10X209,P.S. 209,2018-19,276,0,36,92,80,68,0,0,0,0,0,0,0,0,0,0,148,0.536,128,0.464,1,0.004,53,0.192,220,0.797,1,0.004,0,0,1,0.004,0,0,82,0.297,61,0.221,262,94.9%,93.0%
10X209,P.S. 209,2019-20,274,0,36,86,78,74,0,0,0,0,0,0,0,0,0,0,143,0.522,131,0.478,1,0.004,52,0.19,219,0.799,1,0.004,0,0,1,0.004,0,0,71,0.259,54,0.197,258,94.2%,94.2%
10X209,P.S. 209,2020-21,253,0,33,64,83,73,0,0,0,0,0,0,0,0,0,0,137,0.542,116,0.458,1,0.004,46,0.182,206,0.814,0,0,0,0,0,0,0,0,50,0.198,50,0.198,Above 95%,Above 95%,93.6%
10X209,P.S. 209,2021-22,222,0,35,70,55,62,0,0,0,0,0,0,0,0,0,0,120,0.541,102,0.459,1,0.005,41,0.185,179,0.806,0,0,0,0,1,0.005,0,0,35,0.158,55,0.248,Above 95%,Above 95%,90.7%
10X213,Bronx Engineering and Technology Academy,2017-18,399,0,0,0,0,0,0,0,0,0,0,0,140,118,72,69,63,0.158,336,0.842,12,0.03,114,0.286,253,0.634,1,0.003,5,0.013,11,0.028,3,0.008,103,0.258,63,0.158,365,91.5%,87.6%
10X213,Bronx Engineering and Technology Academy,2018-19,377,0,0,0,0,0,0,0,0,0,0,0,117,103,88,69,59,0.156,318,0.844,18,0.048,104,0.276,242,0.642,0,0,3,0.008,9,0.024,1,0.003,92,0.244,71,0.188,353,93.6%,87.7%
10X213,Bronx Engineering and Technology Academy,2019-20,395,0,0,0,0,0,0,0,0,0,0,0,144,106,76,69,62,0.157,333,0.843,20,0.051,112,0.284,244,0.618,0,0,5,0.013,12,0.03,2,0.005,97,0.246,77,0.195,372,94.2%,88.7%
10X213,Bronx Engineering and Technology Academy,2020-21,371,0,0,0,0,0,0,0,0,0,0,0,96,99,80,96,53,0.143,318,0.857,18,0.049,109,0.294,228,0.615,0,0,2,0.005,14,0.038,0,0,97,0.261,55,0.148,340,91.6%,87.6%
10X213,Bronx Engineering and Technology Academy,2021-22,381,0,0,0,0,0,0,0,0,0,0,0,105,85,102,89,46,0.121,335,0.879,18,0.047,115,0.302,231,0.606,0,0,2,0.005,15,0.039,0,0,116,0.304,49,0.129,337,88.5%,87.7%
10X225,Theatre Arts Production Company School,2017-18,608,0,0,0,0,0,0,0,0,81,74,51,133,107,88,74,408,0.671,200,0.329,8,0.013,161,0.265,420,0.691,1,0.002,4,0.007,10,0.016,4,0.007,138,0.227,47,0.077,493,81.1%,88.2%
10X225,Theatre Arts Production Company School,2018-19,540,0,0,0,0,0,0,0,0,66,65,61,109,85,81,73,355,0.657,185,0.343,12,0.022,130,0.241,384,0.711,0,0,1,0.002,9,0.017,4,0.007,125,0.231,41,0.076,433,80.2%,87.6%
10X225,Theatre Arts Production Company School,2019-20,523,0,0,0,0,0,0,0,0,71,61,61,126,83,54,67,333,0.637,190,0.363,12,0.023,126,0.241,377,0.721,0,0,0,0,7,0.013,1,0.002,131,0.25,47,0.09,437,83.6%,88.9%
10X225,Theatre Arts Production Company School,2020-21,548,0,0,0,0,0,0,0,0,72,68,53,140,95,65,55,360,0.657,188,0.343,10,0.018,130,0.237,396,0.723,0,0,1,0.002,9,0.016,2,0.004,143,0.261,58,0.106,467,85.2%,90.0%
10X225,Theatre Arts Production Company School,2021-22,552,0,0,0,0,0,0,0,0,56,61,62,150,97,76,50,366,0.663,186,0.337,8,0.014,148,0.268,385,0.697,1,0.002,1,0.002,6,0.011,3,0.005,138,0.25,50,0.091,468,84.8%,89.7%
10X226,P.S. 226,2017-18,478,0,36,80,87,83,55,71,66,0,0,0,0,0,0,0,237,0.496,241,0.504,2,0.004,104,0.218,369,0.772,0,0,3,0.006,0,0,0,0,80,0.167,115,0.241,Above 95%,Above 95%,93.9%
10X226,P.S. 226,2018-19,450,0,36,60,72,74,70,62,76,0,0,0,0,0,0,0,223,0.496,227,0.504,2,0.004,97,0.216,348,0.773,0,0,3,0.007,0,0,0,0,88,0.196,118,0.262,Above 95%,Above 95%,93.6%
10X226,P.S. 226,2019-20,412,0,35,57,60,64,79,55,62,0,0,0,0,0,0,0,210,0.51,202,0.49,3,0.007,88,0.214,317,0.769,0,0,3,0.007,1,0.002,0,0,65,0.158,106,0.257,389,94.4%,94.5%
10X226,P.S. 226,2020-21,364,0,21,57,52,58,55,66,55,0,0,0,0,0,0,0,186,0.511,178,0.489,2,0.005,75,0.206,282,0.775,0,0,4,0.011,0,0,1,0.003,70,0.192,98,0.269,344,94.5%,93.7%
10X226,P.S. 226,2021-22,354,15,32,57,47,51,49,46,57,0,0,0,0,0,0,0,171,0.483,183,0.517,3,0.008,68,0.192,277,0.782,0,0,2,0.006,3,0.008,1,0.003,60,0.169,98,0.277,334,94.4%,89.9%
10X228,Jonas Bronck Academy,2017-18,268,0,0,0,0,0,0,0,0,90,88,90,0,0,0,0,136,0.507,132,0.493,18,0.067,37,0.138,201,0.75,2,0.007,3,0.011,6,0.022,1,0.004,46,0.172,15,0.056,243,90.7%,84.6%
10X228,Jonas Bronck Academy,2018-19,270,0,0,0,0,0,0,0,0,90,90,90,0,0,0,0,122,0.452,148,0.548,18,0.067,39,0.144,205,0.759,2,0.007,1,0.004,5,0.019,0,0,50,0.185,19,0.07,234,86.7%,83.8%
10X228,Jonas Bronck Academy,2019-20,267,0,0,0,0,0,0,0,0,90,89,88,0,0,0,0,123,0.461,144,0.539,19,0.071,39,0.146,197,0.738,2,0.007,2,0.007,8,0.03,0,0,53,0.199,17,0.064,234,87.6%,86.3%
10X228,Jonas Bronck Academy,2020-21,270,0,0,0,0,0,0,0,0,89,93,88,0,0,0,0,129,0.478,141,0.522,16,0.059,43,0.159,199,0.737,1,0.004,1,0.004,10,0.037,0,0,59,0.219,22,0.081,244,90.4%,85.3%
10X228,Jonas Bronck Academy,2021-22,268,0,0,0,0,0,0,0,0,92,90,86,0,0,0,0,141,0.526,127,0.474,14,0.052,46,0.172,196,0.731,0,0,1,0.004,11,0.041,0,0,58,0.216,19,0.071,232,86.6%,84.0%
10X237,"The Marie Curie School for Medicine, Nursing, and",2017-18,489,0,0,0,0,0,0,0,0,0,0,0,164,129,116,80,364,0.744,125,0.256,14,0.029,144,0.294,307,0.628,1,0.002,7,0.014,16,0.033,0,0,107,0.219,63,0.129,390,79.8%,86.7%
10X237,"The Marie Curie School for Medicine, Nursing, and",2018-19,430,0,0,0,0,0,0,0,0,0,0,0,127,128,90,85,312,0.726,118,0.274,14,0.033,124,0.288,268,0.623,2,0.005,5,0.012,16,0.037,1,0.002,101,0.235,55,0.128,334,77.7%,85.4%
10X237,"The Marie Curie School for Medicine, Nursing, and",2019-20,383,0,0,0,0,0,0,0,0,0,0,0,127,87,103,66,267,0.697,116,0.303,10,0.026,118,0.308,237,0.619,3,0.008,3,0.008,11,0.029,1,0.003,84,0.219,47,0.123,313,81.7%,87.4%
10X237,"The Marie Curie School for Medicine, Nursing, and",2020-21,385,0,0,0,0,0,0,0,0,0,0,0,136,101,62,86,276,0.717,109,0.283,11,0.029,114,0.296,243,0.631,3,0.008,2,0.005,12,0.031,0,0,85,0.221,48,0.125,326,84.7%,87.7%
10X237,"The Marie Curie School for Medicine, Nursing, and",2021-22,329,0,0,0,0,0,0,0,0,0,0,0,126,89,69,45,251,0.763,78,0.237,6,0.018,98,0.298,212,0.644,3,0.009,2,0.006,8,0.024,0,0,75,0.228,39,0.119,283,86.0%,89.4%
10X243,West Bronx Academy for the Future,2017-18,607,0,0,0,0,0,0,0,0,93,93,95,117,104,66,39,286,0.471,321,0.529,11,0.018,110,0.181,472,0.778,1,0.002,2,0.003,10,0.016,1,0.002,158,0.26,75,0.124,574,94.6%,90.2%
10X243,West Bronx Academy for the Future,2018-19,609,0,0,0,0,0,0,0,0,97,99,86,127,88,63,49,288,0.473,321,0.527,12,0.02,109,0.179,477,0.783,2,0.003,1,0.002,7,0.011,1,0.002,159,0.261,74,0.122,576,94.6%,92.5%
10X243,West Bronx Academy for the Future,2019-20,614,0,0,0,0,0,0,0,0,94,96,96,85,92,71,80,290,0.472,324,0.528,12,0.02,103,0.168,487,0.793,2,0.003,2,0.003,8,0.013,0,0,165,0.269,86,0.14,577,94.0%,93.6%
10X243,West Bronx Academy for the Future,2020-21,647,0,0,0,0,0,0,0,0,109,92,92,113,81,90,70,327,0.505,320,0.495,16,0.025,108,0.167,512,0.791,1,0.002,1,0.002,9,0.014,0,0,169,0.261,114,0.176,598,92.4%,92.7%
10X243,West Bronx Academy for the Future,2021-22,654,0,0,0,0,0,0,0,0,103,101,84,106,105,73,82,337,0.515,317,0.485,14,0.021,111,0.17,522,0.798,1,0.002,1,0.002,5,0.008,0,0,165,0.252,117,0.179,609,93.1%,92.9%
10X244,The New School for Leadership and Journalism,2017-18,748,0,0,0,0,0,0,0,0,194,285,269,0,0,0,0,369,0.493,379,0.507,31,0.041,92,0.123,600,0.802,1,0.001,6,0.008,18,0.024,0,0,169,0.226,160,0.214,Above 95%,Above 95%,88.9%
10X244,The New School for Leadership and Journalism,2018-19,748,0,0,0,0,0,0,0,0,192,270,286,0,0,0,0,353,0.472,395,0.528,26,0.035,79,0.106,624,0.834,2,0.003,4,0.005,12,0.016,1,0.001,167,0.223,174,0.233,Above 95%,Above 95%,88.7%
10X244,The New School for Leadership and Journalism,2019-20,718,0,0,0,0,0,0,0,0,191,259,268,0,0,0,0,339,0.472,379,0.528,17,0.024,62,0.086,625,0.87,3,0.004,2,0.003,9,0.013,0,0,162,0.226,154,0.214,Above 95%,Above 95%,90.5%
10X244,The New School for Leadership and Journalism,2020-21,679,0,0,0,0,0,0,0,0,197,231,251,0,0,0,0,325,0.479,354,0.521,13,0.019,55,0.081,594,0.875,3,0.004,0,0,14,0.021,0,0,143,0.211,149,0.219,Above 95%,Above 95%,91.7%
10X244,The New School for Leadership and Journalism,2021-22,642,0,0,0,0,0,0,0,0,180,231,231,0,0,0,0,324,0.505,318,0.495,12,0.019,53,0.083,561,0.874,1,0.002,0,0,15,0.023,0,0,119,0.185,185,0.288,Above 95%,Above 95%,90.5%
10X246,P.S. 246 Poe Center,2017-18,736,0,0,111,114,97,141,131,142,0,0,0,0,0,0,0,348,0.473,388,0.527,25,0.034,61,0.083,612,0.832,4,0.005,3,0.004,31,0.042,0,0,162,0.22,277,0.376,690,93.8%,94.8%
10X246,P.S. 246 Poe Center,2018-19,683,0,0,102,111,108,98,130,134,0,0,0,0,0,0,0,317,0.464,366,0.536,16,0.023,48,0.07,590,0.864,1,0.001,3,0.004,25,0.037,0,0,148,0.217,260,0.381,631,92.4%,94.5%
10X246,P.S. 246 Poe Center,2019-20,630,0,0,88,104,107,112,90,129,0,0,0,0,0,0,0,289,0.459,341,0.541,17,0.027,49,0.078,541,0.859,2,0.003,1,0.002,20,0.032,0,0,142,0.225,248,0.394,Above 95%,Above 95%,Above 95%
10X246,P.S. 246 Poe Center,2020-21,582,0,0,88,87,95,109,113,90,0,0,0,0,0,0,0,262,0.45,320,0.55,16,0.027,49,0.084,501,0.861,2,0.003,1,0.002,13,0.022,0,0,141,0.242,222,0.381,Above 95%,Above 95%,94.8%
10X246,P.S. 246 Poe Center,2021-22,540,0,0,87,91,81,89,96,96,0,0,0,0,0,0,0,251,0.465,289,0.535,17,0.031,51,0.094,450,0.833,0,0,1,0.002,21,0.039,0,0,130,0.241,212,0.393,Above 95%,Above 95%,92.8%
10X254,I.S. 254,2017-18,469,0,0,0,0,0,0,0,0,163,165,141,0,0,0,0,226,0.482,243,0.518,10,0.021,82,0.175,370,0.789,2,0.004,1,0.002,4,0.009,0,0,132,0.281,160,0.341,425,90.6%,94.2%
10X254,I.S. 254,2018-19,493,0,0,0,0,0,0,0,0,149,182,162,0,0,0,0,243,0.493,250,0.507,12,0.024,78,0.158,398,0.807,1,0.002,1,0.002,3,0.006,0,0,135,0.274,184,0.373,442,89.7%,93.3%
10X254,I.S. 254,2019-20,468,0,0,0,0,0,0,0,0,132,156,180,0,0,0,0,240,0.513,228,0.487,11,0.024,67,0.143,386,0.825,0,0,2,0.004,2,0.004,0,0,136,0.291,163,0.348,421,90.0%,93.7%
10X254,I.S. 254,2020-21,472,0,0,0,0,0,0,0,0,174,140,158,0,0,0,0,241,0.511,231,0.489,10,0.021,60,0.127,397,0.841,0,0,2,0.004,3,0.006,0,0,134,0.284,153,0.324,430,91.1%,93.8%
10X254,I.S. 254,2021-22,454,0,0,0,0,0,0,0,0,151,162,141,0,0,0,0,224,0.493,230,0.507,10,0.022,57,0.126,381,0.839,0,0,1,0.002,5,0.011,0,0,116,0.256,141,0.311,401,88.3%,91.7%
10X264,Bronx Academy for Software Engineering (BASE),2017-18,426,0,0,0,0,0,0,0,0,0,0,0,113,133,92,88,81,0.19,345,0.81,29,0.068,124,0.291,251,0.589,0,0,4,0.009,14,0.033,4,0.009,126,0.296,29,0.068,307,72.1%,79.3%
10X264,Bronx Academy for Software Engineering (BASE),2018-19,419,0,0,0,0,0,0,0,0,0,0,0,113,114,100,92,95,0.227,324,0.773,26,0.062,114,0.272,256,0.611,0,0,4,0.01,14,0.033,5,0.012,117,0.279,38,0.091,319,76.1%,80.2%
10X264,Bronx Academy for Software Engineering (BASE),2019-20,396,0,0,0,0,0,0,0,0,0,0,0,120,104,83,89,82,0.207,314,0.793,21,0.053,109,0.275,249,0.629,0,0,2,0.005,11,0.028,4,0.01,109,0.275,37,0.093,309,78.0%,83.3%
10X264,Bronx Academy for Software Engineering (BASE),2020-21,431,0,0,0,0,0,0,0,0,0,0,1,158,91,92,89,80,0.186,351,0.814,18,0.042,122,0.283,273,0.633,0,0,6,0.014,7,0.016,5,0.012,127,0.295,48,0.111,357,82.8%,85.6%
10X264,Bronx Academy for Software Engineering (BASE),2021-22,438,0,0,0,0,0,0,0,0,0,0,1,152,123,77,85,76,0.174,362,0.826,15,0.034,112,0.256,291,0.664,1,0.002,5,0.011,9,0.021,5,0.011,123,0.281,51,0.116,352,80.4%,85.3%
10X268,Kingsbridge International High School,2017-18,470,0,0,0,0,0,0,0,0,0,0,0,144,99,140,87,243,0.517,227,0.483,21,0.045,16,0.034,414,0.881,0,0,0,0,19,0.04,0,0,19,0.04,404,0.86,Above 95%,Above 95%,Above 95%
10X268,Kingsbridge International High School,2018-19,491,0,0,0,0,0,0,0,0,0,0,0,89,159,128,115,250,0.509,241,0.491,16,0.033,16,0.033,443,0.902,0,0,3,0.006,13,0.026,0,0,22,0.045,428,0.872,Above 95%,Above 95%,Above 95%
10X268,Kingsbridge International High School,2019-20,434,0,0,0,0,0,0,0,0,0,0,0,83,99,162,90,203,0.468,231,0.532,11,0.025,10,0.023,403,0.929,0,0,4,0.009,6,0.014,0,0,21,0.048,376,0.866,Above 95%,Above 95%,Above 95%
10X268,Kingsbridge International High School,2020-21,363,0,0,0,0,0,0,0,0,0,0,0,72,67,129,95,163,0.449,200,0.551,8,0.022,10,0.028,335,0.923,0,0,3,0.008,7,0.019,0,0,17,0.047,338,0.931,Above 95%,Above 95%,Above 95%
10X268,Kingsbridge International High School,2021-22,285,0,0,0,0,0,0,0,0,0,0,0,48,43,131,63,127,0.446,158,0.554,8,0.028,8,0.028,263,0.923,0,0,2,0.007,4,0.014,0,0,14,0.049,268,0.94,Above 95%,Above 95%,Above 95%
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",2017-18,1092,0,0,93,102,122,126,116,135,129,130,139,0,0,0,0,512,0.469,580,0.531,41,0.038,176,0.161,862,0.789,2,0.002,6,0.005,5,0.005,0,0,224,0.205,327,0.299,Above 95%,Above 95%,Above 95%
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",2018-19,1031,0,0,97,88,103,118,116,115,138,128,128,0,0,0,0,481,0.467,550,0.533,34,0.033,165,0.16,820,0.795,4,0.004,5,0.005,3,0.003,0,0,210,0.204,282,0.274,Above 95%,Above 95%,Above 95%
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",2019-20,952,0,0,65,90,84,113,105,110,128,133,124,0,0,0,0,455,0.478,497,0.522,31,0.033,156,0.164,751,0.789,5,0.005,4,0.004,5,0.005,0,0,204,0.214,254,0.267,Above 95%,Above 95%,Above 95%
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",2020-21,890,0,0,57,64,83,84,109,109,133,128,123,0,0,0,0,436,0.49,454,0.51,28,0.031,141,0.158,705,0.792,2,0.002,6,0.007,6,0.007,2,0.002,194,0.218,250,0.281,Above 95%,Above 95%,Above 95%
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",2021-22,778,0,0,57,58,56,76,72,97,127,126,109,0,0,0,0,383,0.492,395,0.508,22,0.028,116,0.149,624,0.802,2,0.003,5,0.006,6,0.008,3,0.004,178,0.229,212,0.272,Above 95%,Above 95%,Above 95%
10X280,P.S./M.S. 280 Mosholu Parkway,2017-18,876,0,0,84,84,90,93,93,102,100,129,101,0,0,0,0,419,0.478,457,0.522,91,0.104,69,0.079,658,0.751,1,0.001,5,0.006,52,0.059,0,0,254,0.29,147,0.168,Above 95%,Above 95%,88.6%
10X280,P.S./M.S. 280 Mosholu Parkway,2018-19,816,0,0,70,88,74,84,93,89,96,99,123,0,0,0,0,405,0.496,411,0.504,78,0.096,63,0.077,628,0.77,1,0.001,4,0.005,42,0.051,0,0,248,0.304,139,0.17,767,94.0%,89.2%
10X280,P.S./M.S. 280 Mosholu Parkway,2019-20,802,0,0,70,68,102,76,92,100,95,99,100,0,0,0,0,385,0.48,417,0.52,73,0.091,64,0.08,623,0.777,2,0.002,3,0.004,37,0.046,0,0,238,0.297,143,0.178,753,93.9%,91.5%
10X280,P.S./M.S. 280 Mosholu Parkway,2020-21,737,0,0,60,72,66,97,71,81,100,94,96,0,0,0,0,353,0.479,384,0.521,71,0.096,66,0.09,559,0.758,3,0.004,2,0.003,36,0.049,0,0,216,0.293,142,0.193,683,92.7%,91.2%
10X280,P.S./M.S. 280 Mosholu Parkway,2021-22,718,0,0,74,72,72,72,94,61,96,94,83,0,0,0,0,367,0.511,351,0.489,72,0.1,74,0.103,536,0.747,4,0.006,4,0.006,28,0.039,0,0,185,0.258,121,0.169,659,91.8%,91.3%
10X284,Bronx School of Law and Finance,2017-18,380,0,0,0,0,0,0,0,0,0,0,0,141,83,71,85,171,0.45,209,0.55,5,0.013,97,0.255,262,0.689,0,0,2,0.005,12,0.032,2,0.005,89,0.234,76,0.2,333,87.6%,90.7%
10X284,Bronx School of Law and Finance,2018-19,369,0,0,0,0,0,0,0,0,0,0,0,104,113,79,73,183,0.496,186,0.504,4,0.011,80,0.217,267,0.724,1,0.003,2,0.005,12,0.033,3,0.008,79,0.214,80,0.217,326,88.3%,89.5%
10X284,Bronx School of Law and Finance,2019-20,392,0,0,0,0,0,0,0,0,0,0,0,108,93,96,95,199,0.508,193,0.492,4,0.01,74,0.189,299,0.763,1,0.003,2,0.005,10,0.026,2,0.005,81,0.207,99,0.253,346,88.3%,90.7%
10X284,Bronx School of Law and Finance,2020-21,354,0,0,0,0,0,0,0,0,0,0,0,87,90,84,93,194,0.548,160,0.452,2,0.006,72,0.203,266,0.751,1,0.003,2,0.006,8,0.023,3,0.008,72,0.203,71,0.201,311,87.9%,91.1%
10X284,Bronx School of Law and Finance,2021-22,317,0,0,0,0,0,0,0,0,0,0,2,90,70,85,70,175,0.552,142,0.448,5,0.016,64,0.202,231,0.729,2,0.006,2,0.006,9,0.028,4,0.013,66,0.208,47,0.148,274,86.4%,89.0%
10X291,P.S. 291,2017-18,638,0,0,111,95,99,115,115,103,0,0,0,0,0,0,0,311,0.487,327,0.513,5,0.008,60,0.094,567,0.889,0,0,1,0.002,5,0.008,0,0,116,0.182,175,0.274,Above 95%,Above 95%,Above 95%
10X291,P.S. 291,2018-19,601,0,0,91,107,93,94,103,113,0,0,0,0,0,0,0,294,0.489,307,0.511,4,0.007,45,0.075,550,0.915,0,0,0,0,2,0.003,0,0,109,0.181,172,0.286,Above 95%,Above 95%,93.5%
10X291,P.S. 291,2019-20,576,0,0,85,97,106,94,100,94,0,0,0,0,0,0,0,279,0.484,297,0.516,2,0.003,44,0.076,528,0.917,0,0,0,0,2,0.003,0,0,115,0.2,160,0.278,Above 95%,Above 95%,93.4%
10X291,P.S. 291,2020-21,534,0,0,63,90,95,100,93,93,0,0,0,0,0,0,0,248,0.464,286,0.536,3,0.006,36,0.067,488,0.914,0,0,0,0,7,0.013,0,0,110,0.206,155,0.29,Above 95%,Above 95%,92.6%
10X291,P.S. 291,2021-22,447,0,0,50,58,83,82,97,77,0,0,0,0,0,0,0,208,0.465,239,0.535,3,0.007,30,0.067,406,0.908,0,0,0,0,8,0.018,0,0,97,0.217,137,0.306,Above 95%,Above 95%,91.7%
10X306,P.S. 306,2017-18,692,0,0,112,108,90,111,132,139,0,0,0,0,0,0,0,364,0.526,328,0.474,9,0.013,179,0.259,497,0.718,0,0,2,0.003,5,0.007,0,0,151,0.218,98,0.142,624,90.2%,Above 95%
10X306,P.S. 306,2018-19,651,0,0,85,112,120,98,113,123,0,0,0,0,0,0,0,340,0.522,311,0.478,9,0.014,163,0.25,473,0.727,0,0,1,0.002,5,0.008,0,0,138,0.212,106,0.163,580,89.1%,94.7%
10X306,P.S. 306,2019-20,605,0,0,83,90,107,119,99,107,0,0,0,0,0,0,0,300,0.496,305,0.504,8,0.013,153,0.253,438,0.724,2,0.003,1,0.002,3,0.005,0,0,116,0.192,99,0.164,555,91.7%,Above 95%
10X306,P.S. 306,2020-21,548,0,0,56,87,88,108,113,96,0,0,0,0,0,0,0,256,0.467,292,0.533,6,0.011,140,0.255,396,0.723,3,0.005,1,0.002,2,0.004,0,0,109,0.199,90,0.164,504,92.0%,94.6%
10X306,P.S. 306,2021-22,475,0,0,61,54,93,79,96,92,0,0,0,0,0,0,0,230,0.484,245,0.516,4,0.008,130,0.274,338,0.712,2,0.004,0,0,1,0.002,0,0,94,0.198,71,0.149,428,90.1%,92.7%
10X307,Luisa Pineiro Fuentes School of Science and Discov,2017-18,385,0,0,58,76,70,67,58,56,0,0,0,0,0,0,0,188,0.488,197,0.512,21,0.055,23,0.06,335,0.87,0,0,0,0,6,0.016,0,0,83,0.216,151,0.392,335,87.0%,90.5%
10X307,Luisa Pineiro Fuentes School of Science and Discov,2018-19,342,0,0,52,50,71,63,56,50,0,0,0,0,0,0,0,158,0.462,184,0.538,19,0.056,18,0.053,299,0.874,0,0,0,0,6,0.018,0,0,73,0.213,144,0.421,288,84.2%,90.0%
10X307,Luisa Pineiro Fuentes School of Science and Discov,2019-20,301,0,0,42,40,39,66,60,54,0,0,0,0,0,0,0,140,0.465,161,0.535,20,0.066,20,0.066,255,0.847,0,0,0,0,6,0.02,0,0,56,0.186,126,0.419,256,85.0%,89.2%
